"cloth_name","color_code","small_type","price","image_url","big_type","cloth_code","cloth_describe"
"半袖カットソー/Tシャツ/トップス/レディース/重ね着","null","トップス","1350","http://item.shopping.c.yimg.jp/i/g/andit_a11547101","レディースファッション","0010","アンドイットセール*:.☆   期間限定特別価格★  商品名：裾タックワイドプルオーバー  裾タックでつくる、ラフで可愛い大人のゆるシルエット◎デイリーに着回せる一枚がコーデにお役立ち！  ■スタッフから( 159 ｃｍ) [M]おしりにかかる位の着丈です。裾部分にタックが寄せられているので程良く体にフィットし、自然にふんわりとシルエットがまとまりました◎  [サイズ/ｃｍ] [M]着丈約65、身幅約118、ゆき丈約36、ネック(幅)約20(深さ)約12、袖口約32、裾幅約50 [L]着丈約67、身幅約122、ゆき丈約37.5、ネック(幅)約20(深さ)約12、袖口約32、裾幅約52  [素材/％] ポリエステル65、レーヨン35  中国製  ※オフ、オフ×ブラックは透け感がございます。  ※メール便可⇒(10)"
"長袖カットソー/レディース/無地/トップス/重ね着風","null","トップス","979","http://item.shopping.c.yimg.jp/i/g/andit_w10236965","レディースファッション","0011","★★Yahoo!ショッピングレディースファッションランキング1位獲得★★  商品名：フェイクレイヤードくしゅくしゅシャーリングカットソー  このカットソーでコーデの幅が広がること間違いナシ◎まるで重ね着をしてるようなデザインがポイント◎  ■スタッフから( 159 ｃｍ) [M・L]着用。インナーを着るとMサイズは体にフィットしたシルエットに。指穴デザインやくしゅ感も問題なく楽しめます♪ゆったり着たい方はLがオススメ◎  [サイズ/ｃｍ] [M]着丈約68バスト約84肩幅約35袖丈約61約37 ネック(幅)約18.5ｃｍ(深さ)約10袖口約19.5裾幅約42ｃｍ [L]着丈約70バスト約88肩幅約37.5袖丈約61AH約39 ネック(幅)約20ｃｍ(深さ)約10.5袖口約20裾幅約44ｃｍ [LL]着丈約72バスト約100肩幅約40袖丈約62AH約41 ネック(幅)約21.5ｃｍ(深さ)約11袖口約21裾幅約50ｃｍ [3L]着丈約74バスト約104肩幅約42袖丈約64AH約43 ネック(幅)約24.5ｃｍ(深さ)約12.5袖口約22.5裾幅約52ｃｍ [4L]着丈約76バスト約108肩幅約44袖丈約66AH約45 ネック(幅)約25.5ｃｍ(深さ)約12.5袖口約23裾幅約54ｃｍ  [素材/％] 綿100  【バングラデシュ製】  ※メール便可⇒(10)"
"薄手カーディガン ロングカーディガン 洗えるニット カーディガン ロング C1053 送料無料メ便対応","null","トップス","1590","http://item.shopping.c.yimg.jp/i/g/kobelettuce_c1053","レディースファッション","0012","薄手カーディガン ロングカーディガン ※【代金引換便】以外のお支払いにて1点までのご注文は【メール便】発送となります。 Fashion Enjoy♪プロデューサー巻き/肩掛けにも◎選べる3type!お家で洗えるシルクタッチニット★肌心地抜群ニットカーディガン  ALLシーズン着れる保湿性/通気性に優れた、ツヤ感あるシルクの様な素材にご注目!ストレッチ糸を使い、しなやかなFit感で美シルエも演出します♪1枚着としても使える丸首タイプに、着丈で選べるVネックの計3typeで、ベーシックカラーからトレンドカラーまで全20色をご用意☆ 発色の良さに気分も上々↑何枚あっても困らない毎日のFashionが楽しくなるとびっきりのラッキーITEMです♪ ◆MODEL(160cm:Vロング丈・キャメル着) ※キャンセル/変更不可 【実寸(cm)約】 ワンサイズ:M 丸首ミディアム丈/Vミディアム丈/Vロング丈 着丈…56/60/72 肩幅…34/34/35 胸囲…90/84/96 ウエスト…84/82/84 裾周り…70/64/72 袖丈…56/56/57 袖周り…38/38/40 袖口…16/16/18 ヒップ…-/-/78 【素材】 レーヨン80%/ナイロン15%/ポリウレタン5%  ※伸縮あり/若干透けあり"
"Tシャツ Uネック Vネック カットソー トップス レディース C2256","null","トップス","1380","http://item.shopping.c.yimg.jp/i/g/kobelettuce_c2256","レディースファッション","0013","デイリーコーデに色違いで揃えたいitemが登場！[Uネック/Vネック]2way★前後で着られるゆるTシャツトップス/レディース  前後で着られる！ シンプルなゆるTシャツが登場！  【素材・サイズ感】 てろっとした落ち感のあるカットソー素材で肌ざわり○ゆったりしたシルエットで気になるボディラインもカバーできます。 VネックとUネックで前後どちらでも着られる仕様になっているので、 コーディネートや気分に合わせてネックラインを選べるのも嬉しいポイント！  【スタイリング】 ボリュームのあるボトムにinしてももたつかないので、 幅広いコーディネートに活躍します。  ◆MODEL(166cm:オフホワイト着) ※キャンセル/変更不可  【サイズ】 ワンサイズ(M)  【実寸(cm)約】 ●着丈…64 ●襟開き幅…20 ●胸囲…100 ●ウエスト…98 ●裾周り…102 ●袖丈…24 ●袖周り…44 ●袖口…38 【素材】 ポリエステル65％　レーヨン35％  ※【伸縮】あり/【淡色透け】若干あり/【濃色透け】若干あり/【裏地】なし"
"夏セール★Tシャツ  チュニック カットソー レディース ロンT AU206 送料無料","null","トップス","690","http://item.shopping.c.yimg.jp/i/g/kobelettuce_au206","レディースファッション","0014","[Roomey]選べる無地orボーダー！くしゅくしゅブラウジング袖デザインゆるシルエロングチュニックTシャツ/レディース  上質なカットソー素材を毎日のワードローブに。 着心地とシルエットにこだわった神戸レタスオリジナルの[Roomey]シリーズ！ くしゅっとした袖デザインがポイントのゆるロンTが登場。  【素材・サイズ感】 とろけるような手触りのなめらかなカットソー素材。 何枚でも欲しくなるヤミツキの着心地の良さです。  【スタイリング】 シンプルなのでデイリーに使いやすく、 何枚あっても困らないデザイン。 長めの着丈とくしゅっとギャザーが寄った袖のデザインで、 体型カバーも叶います。  ◆MODEL(166cm:ネイビー着) ※キャンセル/変更不可  【サイズ】 ワンサイズ(M)  【実寸(cm)約】 ●着丈…73 ●肩幅…35 ●胸囲…91 ●ウエスト…86 ●ヒップ…86 ●裾周り…85 ●袖丈…61 ●袖周り…35 ●袖口…19 【素材】 ポリエステル62% レーヨン33% ポリウレタン5%  ※【伸縮】あり/【淡色透け】若干あり/【濃色透け】若干あり/【裏地】なし"
"チェックシャツ ギンガムチェック ストライプ シャツ C1700","null","トップス","1690","http://item.shopping.c.yimg.jp/i/g/kobelettuce_c1700","レディースファッション","0015","トレンド柄をシンプルに取り入れて♪全14color！[ギンガム/ストライプ/チェック柄/無地]ベーシックシャツ/レディース  ニットやベストのインナーにはもちろん、 羽織り、 腰巻きに活躍するチェックorストライプベーシックシャツ！  【素材感】 サラっとしたライトな質感の綿素材は年中使える！ 吸湿性と保湿性があり、 通気性に優れているのでデイリーにピッタリ。  【着心地・サイズ感】 小さすぎずゆるすぎないベーシックサイズなので、 Sサイズさんもグラマラスさんも○ 【スタイリング】 1枚でも勿論レイヤードや、 アクセント使いに。  ◆MODEL(左160cm:ストライプブルー/右164cm:ギンガムブラック着) ※キャンセル/変更不可  【サイズ】 ワンサイズ(M)  【実寸(cm)約】 ●着丈…64 ●肩幅…37 ●胸囲…94 ●ウエスト…94 ●裾周り…98 ●袖丈…59 ●袖周り…44 ●袖口…20 【素材】 チェック柄・無地：綿100% ストライプ柄：綿85%/レーヨン15%  ※【伸縮】なし/【淡色透け】若干あり/【濃色透け】若干あり/【裏地】なし"
"スキッパー シャツ ブラウス 秋新作 ストライプ C2076","null","トップス","1990","http://item.shopping.c.yimg.jp/i/g/kobelettuce_c2076","レディースファッション","0016","秋新作 スキッパー ちょっとルーズな雰囲気が大人っぽい！[無地/ストライプ]ポケット付きスキッパーシャツトップス/ブラウス  胸元がすっきりとした印象で、 ゆったりとリラックス感のあるシルエットが大人っぽい印象を演出します。 ベーシックなカラーバリエーションで色々なシーンに使えます。  【素材・サイズ感】 綿混のサラっとした肌触りで着心地◎身頃部分はゆったりしているので、 ボディラインも響かずほどよいゆったり感です。  【スタイリング】 ベルトをプラスしてボトムスINがおすすめ！ 少し後ろにひっぱって後下がりのラインでこなれ感を演出してもOK◎  ◆MODEL(160cm:左カーキ/右ストライプオフ着) ※キャンセル/変更不可  【サイズ】 ワンサイズ(M)  【実寸(cm)約】 ●着丈…64 ●肩幅…37 ●胸囲…100 ●ウエスト…102 ●裾周り…104 ●袖丈…58 ●袖周り…44 ●袖口…21 【素材】 ポリエステル65% 綿35%  ※【伸縮】なし/【淡色透け】若干あり/【濃色透け】若干あり/【裏地】なし"
"夏物売り尽くし ブラウス 麻風 カットソー 清涼感 シャツ トップス 無地","null","トップス","1180","http://item.shopping.c.yimg.jp/i/g/rioty_10ts1799","レディースファッション","0017","リネンが持つ優しい雰囲気、清涼感が魅力的なアイテム ふんわりとエアリー感のあるデザインがリラックスした着心地を演出します ゆったりしたサイズ感で体型カバーしてくれるシルエット"
"Tシャツ Vネック 紫外線カットUVカット CandyCool トップス レディース H514","null","トップス","1490","http://item.shopping.c.yimg.jp/i/g/kobelettuce_h514","レディースファッション","0018","100万枚突破★[永久紫外線CUT/消臭加工/速乾]着る日焼け止め！紫外線カットCandyCool★袖ロールアップVネックTシャツ  UVカットシリーズ累計100万枚突破★ [着るだけ]UVカットシリーズCandyCool!! 紫外線カット率は最大で98.5％！ 永久持続の特殊素材で暑い夏もサラサラCOOLな着心地♪  【素材・サイズ感】 軽くてサラっとした薄手のカットソー素材。 吸汗速乾に優れ、 快適な着心地。 花粉を寄せ付けにくく、 毛玉にもなりにくい特殊素材○ゆったりシルエでヒップまでカバー。  ■CandyCool8つの機能 UVカット/放熱/吸汗・速乾/ストレッチ/静電気防止/アンチピリング/肌想い/消臭  ◆MODEL(166cm:左オフホワイト/右ブラック着) ※キャンセル/変更不可  【サイズ】 ワンサイズ(M)  【実寸(cm)約】 ●着丈…(前) 66 (後) 69 ●肩幅…45 ●胸囲…102 ●ウエスト…98 ●裾周り…96 ●袖丈…23 ●袖周り…40 ●袖口…35 【素材】 ポリエステル65% レーヨン30% ポリウレタン5%  ※【伸縮】あり/【淡色透け】若干あり/【濃色透け】若干あり/【裏地】なし"
"【超目玉】夏セール Summer Sale 【単品購入のみメール便送料無料】ドルマンスリーブゆる カットソー Tシャツ チュニック ゆったり レディース【オープン記念】","null","トップス","831","http://item.shopping.c.yimg.jp/i/g/honeyondays_top82014","レディースファッション","0019","人気のドルマンスリーブと華やかカラーがコラボしたドルマンチュニックをご紹介。 ぽっこりお腹もすっきり美ボディーラインをメイクしちゃいますっ！ なんといっても鮮やかなカラーリングや落ち着いたオトナカラーと選べるのがうれしい上に、肌ざわりの良いさらりとした手触り柔らかな生地を使用してきますので、汗ばむ季節でもオールシーズン快適に着用頂けます！  ■サイズ M(79-87) ■実寸 着丈65 裄丈49バスト207 裾幅46 ※若干のストレッチ性があります。 ※平置きでの計測となりますので、若干の誤差が御座いますので予めご了承下さい。 ■色 オフホワイト オレンジ(ピンクがかったお色となります) チャコール ブラック ベージュ ブラウン ピンク グリーン カーキ イエロー ラベンダー ブルー  ロイヤルブルー ■材質 ポリエステル65 レーヨン35 ※ブラックのみ、染めの工程で他のカラーより少し硬くなっていますが 同じ素材を使用しております  ■仕様 被り脱着 ■参考 モデル 身長165cm 体重47kg 生産過程により糸くずが生地に混入している場合があります。 ご理解の上ご購入に下さい。着用には問題ございません。"
